"array_element_name","is_control","locus","description"
"264237_at","no","AT1G54700","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; CONTAINS InterPro DOMAIN/s: Serine endopeptidase DegP2 (InterPro:IPR015724); BEST Arabidopsis thaliana protein match is: DegP protease 13 (TAIR:AT5G40560.1); Has 78 Blast hits to 78 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 78; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264238_at","no","AT1G54740","Protein of unknown function (DUF3049)"
"264239_at","no","AT1G54770","Fcf2 pre-rRNA processing protein"
"264240_at","no","AT1G54820","Protein kinase superfamily protein"
"264241_at","no","AT1G54840","HSP20-like chaperones superfamily protein"
"264242_at","no","AT1G54640","F-box family protein-related"
"264243_at","no","AT1G54650","Methyltransferase family protein"
"264244_at","no","AT1G60440","pantothenate kinase 1"
"264245_at","no","AT1G60450","galactinol synthase 7"
"264246_at","no","AT1G60140","trehalose phosphate synthase"
"264247_at","no","AT1G60160","Potassium transporter family protein"
"264248_at","no","AT1G78700","BES1/BZR1 homolog 4"
"264249_at","no","AT1G78920","vacuolar H+-pyrophosphatase 2"
"264250_at","no","AT1G78680","gamma-glutamyl hydrolase 2"
"264251_at","no","AT1G09190","Tetratricopeptide repeat (TPR)-like superfamily protein"
"264252_at","no","AT1G09180","secretion-associated RAS super family 1"
"264253_at","no","AT1G09170","P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain"
"264254_at","no","AT1G09150","pseudouridine synthase and archaeosine transglycosylase (PUA) domain-containing protein"
"264255_at","no","AT1G09140","SERINE-ARGININE PROTEIN 30"
"264256_at","no","AT1G09270","importin alpha isoform 4"
"264257_at","no","AT1G09230","RNA-binding (RRM/RBD/RNP motifs) family protein"
"264258_at","no","AT1G09220","Pentatricopeptide repeat (PPR) superfamily protein"
"264259_at","no","AT1G09290","unknown protein; Has 73 Blast hits to 71 proteins in 26 species: Archae - 0; Bacteria - 0; Metazoa - 5; Fungi - 11; Plants - 54; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."
"264260_at","no","AT1G09210","calreticulin 1b"
"264261_at","no","AT1G09240","nicotianamine synthase 3"
"264262_at","no","AT1G09200","Histone superfamily protein"
"264263_at","no","AT1G09155","phloem protein 2-B15"
"264264_at","no","AT1G09250","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"264265_at","no","AT1G09280","CONTAINS InterPro DOMAIN/s: Rhodanese-like (InterPro:IPR001763), Serine hydrolase (InterPro:IPR005645); BEST Arabidopsis thaliana protein match is: Rhodanese/Cell cycle control phosphatase superfamily protein (TAIR:AT2G40760.1); Has 5925 Blast hits to 5912 proteins in 1592 species: Archae - 0; Bacteria - 2946; Metazoa - 156; Fungi - 408; Plants - 229; Viruses - 0; Other Eukaryotes - 2186 (source: NCBI BLink)."
"264266_at","no","AT1G09160","Protein phosphatase 2C family protein"
"264267_at","no","AT1G60200","splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein"
"264268_at","no","AT1G60220","UB-like protease 1D"
"264269_at","no","AT1G60240","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"
"264270_at","no","AT1G60260","beta glucosidase 5"
"264271_at","no","AT1G60270","beta glucosidase 6"
"264272_at","no","AT1G60280","NAC domain containing protein 23"
"264273_s_at","no","AT1G60340;AT1G60300","[AT1G60340, NAC (No Apical Meristem) domain transcriptional regulator superfamily protein];[AT1G60300, NAC (No Apical Meristem) domain transcriptional regulator superfamily protein]"
"264274_at","no","AT1G60320","Toll-Interleukin-Resistance (TIR) domain family protein"
"264275_at","no","AT1G60350","NAC domain containing protein 24"
"264276_at","no","AT1G60380","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"
"264277_at","no","AT1G60390","polygalacturonase 1"
"264278_at","no","AT1G60130","Mannose-binding lectin superfamily protein"
"264279_s_at","no","AT1G78820;AT1G78830","[AT1G78820, D-mannose binding lectin protein with Apple-like carbohydrate-binding domain];[AT1G78830, Curculin-like (mannose-binding) lectin family protein]"
"264280_at","no","AT1G61820","beta glucosidase 46"
"264281_at","no","AT1G61830","pseudogene, CHP-rich zinc finger protein, putative, similar to putative CHP-rich zinc finger protein GI:9293934 from (Arabidopsis thaliana)"
"264282_at","no","AT1G61840","Cysteine/Histidine-rich C1 domain family protein"
"264283_at","no","AT1G61850","phospholipases;galactolipases"
"264284_at","no","AT1G61860","Protein kinase superfamily protein"
"264285_at","no","AT1G62040","Ubiquitin-like superfamily protein"
"264286_at","no","AT1G61870","pentatricopeptide repeat 336"
"264287_at","no","AT1G61930","Protein of unknown function, DUF584"
"264288_at","no","AT1G62045","BEST Arabidopsis thaliana protein match is: ankyrin repeat family protein (TAIR:AT1G11740.1); Has 26 Blast hits to 26 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264289_at","no","AT1G61890","MATE efflux family protein"
"264290_at","no","AT1G78810","unknown protein; Has 75 Blast hits to 52 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 2; Plants - 66; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."
"264291_at","no","AT1G78800","UDP-Glycosyltransferase superfamily protein"
"264292_at","no","AT1G78790","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2008 (InterPro:IPR018552); Has 27 Blast hits to 27 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264293_at","no","AT1G78770","anaphase promoting complex 6"
"264294_at","no","AT1G78750","F-box/RNI-like superfamily protein"
"264296_at","no","AT1G78720","SecY protein transport family protein"
"264297_at","no","AT1G78710","TRICHOME BIREFRINGENCE-LIKE 42"
"264298_at","no","AT1G78690","Phospholipid/glycerol acyltransferase family protein"
"264299_s_at","no","AT1G78850;AT1G78860","[AT1G78850, D-mannose binding lectin protein with Apple-like carbohydrate-binding domain];[AT1G78860, D-mannose binding lectin protein with Apple-like carbohydrate-binding domain]"
"264300_at","no","AT1G78670","gamma-glutamyl hydrolase 3"
"264301_at","no","AT1G78780","pathogenesis-related family protein"
"264302_at","no","AT1G78900","vacuolar ATP synthase subunit A"
"264303_s_at","no","AT1G16890;AT1G78870","[AT1G16890, ubiquitin-conjugating enzyme 36];[AT1G78870, ubiquitin-conjugating enzyme 35]"
"264304_at","no","AT1G78895","Reticulon family protein"
"264305_at","no","AT1G78815","Protein of unknown function (DUF640)"
"264306_at","no","AT1G78890","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G16840.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"264307_at","no","AT1G61900","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30700.1); Has 65 Blast hits to 65 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 65; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264308_at","no","AT1G61990","Mitochondrial transcription termination factor family protein"
"264309_at","no","AT1G62020","Coatomer, alpha subunit"
"264310_at","no","AT1G62030","Cysteine/Histidine-rich C1 domain family protein"
"264311_at","no","AT1G70400","CONTAINS InterPro DOMAIN/s: NOSIC (InterPro:IPR012976); BEST Arabidopsis thaliana protein match is: pre-mRNA processing ribonucleoprotein binding region-containing protein (TAIR:AT1G60170.1); Has 479 Blast hits to 479 proteins in 178 species: Archae - 0; Bacteria - 0; Metazoa - 125; Fungi - 138; Plants - 124; Viruses - 0; Other Eukaryotes - 92 (source: NCBI BLink)."
"264312_at","no","AT1G70450","Protein kinase superfamily protein"
"264313_at","no","AT1G70410","beta carbonic anhydrase 4"
"264314_at","no","AT1G70420","Protein of unknown function (DUF1645)"
"264315_at","no","AT1G70370","polygalacturonase 2"
"264316_at","no","AT1G70330","equilibrative nucleotide transporter 1"
"264317_at","no","AT1G70310","spermidine synthase 2"
"264318_at","no","AT1G04220","3-ketoacyl-CoA synthase 2"
"264319_at","no","AT1G04110","Subtilase family protein"
"264320_at","no","AT1G04090","Plant protein of unknown function (DUF946)"
"264321_at","no","AT1G04200","FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Dymeclin (InterPro:IPR019142); Has 395 Blast hits to 389 proteins in 117 species: Archae - 0; Bacteria - 0; Metazoa - 262; Fungi - 21; Plants - 68; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink)."
"264322_at","no","AT1G04190","Tetratricopeptide repeat (TPR)-like superfamily protein"
"264323_at","no","AT1G04180","YUCCA 9"
"264324_at","no","AT1G04160","myosin XI B"
"264325_at","no","AT1G04150","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein"
"264326_at","no","AT1G04230","Protein of unknown function (DUF2361)"
"264327_at","no","AT1G04170","eukaryotic translation initiation factor 2 gamma subunit"
"264328_at","no","AT1G04100","indoleacetic acid-induced protein 10"
"264329_at","no","AT1G04140","Transducin family protein / WD-40 repeat family protein"
"264330_at","no","AT1G04120","multidrug resistance-associated protein 5"
"264331_at","no","AT1G04130","Tetratricopeptide repeat (TPR)-like superfamily protein"
"264332_at","no","AT1G61920","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: sperm cell, male gametophyte, pollen tube; EXPRESSED DURING: M germinated pollen stage; Has 3 Blast hits to 3 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264333_at","no","AT1G61940","tubby like protein 4"
"264334_at","no","AT1G61950","calcium-dependent protein kinase 19"
"264335_s_at","no","AT1G70320;AT1G55860","[AT1G70320, ubiquitin-protein ligase 2];[AT1G55860, ubiquitin-protein ligase 1]"
"264336_at","no","AT1G70360","F-box family protein"
"264337_at","no","AT1G70350","unknown protein; Has 98 Blast hits to 98 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 98; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264338_at","no","AT1G70300","K+ uptake permease 6"
"264339_at","no","AT1G70290","trehalose-6-phosphatase synthase S8"
"264340_at","no","AT1G70280","NHL domain-containing protein"
"264341_at","no","AT1G70270","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G23965.1); Has 20 Blast hits to 20 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 20; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264342_at","no","AT1G12080","Vacuolar calcium-binding protein-related"
"264343_at","no","AT1G11850","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 12 growth stages; Has 38777 Blast hits to 8185 proteins in 741 species: Archae - 46; Bacteria - 14846; Metazoa - 13013; Fungi - 1392; Plants - 5894; Viruses - 543; Other Eukaryotes - 3043 (source: NCBI BLink)."
"264344_at","no","AT1G11910","aspartic proteinase A1"
"264345_at","no","AT1G11915","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: root; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G17350.1); Has 261 Blast hits to 261 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 261; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264346_at","no","AT1G12010","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"264347_at","no","AT1G12040","leucine-rich repeat/extensin 1"
"264348_at","no","AT1G12110","nitrate transporter 1.1"
"264349_at","no","AT1G11930","Predicted pyridoxal phosphate-dependent enzyme, YBL036C type"
"264350_at","no","AT1G11870","Seryl-tRNA synthetase"
"264351_at","no","AT1G03370","C2 calcium/lipid-binding and GRAM domain containing protein"
"264352_at","no","AT1G03270","CBS domain-containing protein with a domain of unknown function (DUF21)"
"264353_at","no","AT1G03260","SNARE associated Golgi protein family"
"264354_s_at","no","AT1G03200;AT1G03240","[AT1G03200, unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G03240.1); Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).];[AT1G03240, unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G03200.1); Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).]"
"264355_at","no","AT1G03210","Phenazine biosynthesis PhzC/PhzF protein"
"264356_at","no","AT1G03190","RAD3-like DNA-binding helicase protein"
"264357_at","no","AT1G03360","ribosomal RNA processing 4"
"264358_at","no","AT1G03180","unknown protein; Has 36 Blast hits to 36 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 33; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264359_at","no","AT1G03320","unknown protein; Has 1038 Blast hits to 683 proteins in 112 species: Archae - 4; Bacteria - 14; Metazoa - 318; Fungi - 117; Plants - 86; Viruses - 8; Other Eukaryotes - 491 (source: NCBI BLink)."
"264360_at","no","AT1G03310","debranching enzyme 1"
"264361_at","no","AT1G03300","DOMAIN OF UNKNOWN FUNCTION 724 1"
"264362_at","no","AT1G03290","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02880.2); Has 13587 Blast hits to 10183 proteins in 1114 species: Archae - 257; Bacteria - 2402; Metazoa - 5637; Fungi - 960; Plants - 675; Viruses - 54; Other Eukaryotes - 3602 (source: NCBI BLink)."
"264363_at","no","AT1G03170","Protein of unknown function (DUF3049)"
"264364_at","no","AT1G03330","Small nuclear ribonucleoprotein family protein"
"264365_s_at","no","AT1G03220;AT1G03230","[AT1G03220, Eukaryotic aspartyl protease family protein];[AT1G03230, Eukaryotic aspartyl protease family protein]"
"264366_at","no","AT1G03250","unknown protein; Has 89 Blast hits to 89 proteins in 31 species: Archae - 0; Bacteria - 0; Metazoa - 31; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink)."
"264367_at","no","AT1G03350","BSD domain-containing protein"
"264368_at","no","AT1G03280","Transcription factor TFIIE, alpha subunit"
"264369_at","no","AT1G70430","Protein kinase superfamily protein"
"264370_at","no","AT1G12100","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"264371_at","no","AT1G12090","extensin-like protein"
"264372_at","no","AT1G11840","glyoxalase I homolog"
"264373_at","no","AT1G11890","Synaptobrevin family protein"
"264374_at","no","AT2G25180","response regulator 12"
"264375_at","no","AT2G25090","CBL-interacting protein kinase 16"
"264376_at","no","AT2G25070","Protein phosphatase 2C family protein"
"264377_at","no","AT2G25060","early nodulin-like protein 14"
"264378_at","no","AT2G25220","Protein kinase superfamily protein"
"264379_at","no","AT2G25200","Plant protein of unknown function (DUF868)"
"264380_at","no","AT2G25190","PPPDE putative thiol peptidase family protein"
"264381_at","no","AT2G25100","Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
"264382_at","no","AT2G25110","stromal cell-derived factor 2-like protein precursor"
"264383_at","no","AT2G25080","glutathione peroxidase 1"
"264384_at","no","AT2G25170","chromatin remodeling factor CHD3 (PICKLE)"
"264385_at","no","AT1G12020","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G62422.1); Has 89 Blast hits to 88 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 87; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink)."
"264386_at","no","AT1G12000","Phosphofructokinase family protein"
"264387_at","no","AT1G11990","O-fucosyltransferase family protein"
"264388_at","no","AT1G11970","Ubiquitin-like superfamily protein"
"264389_at","no","AT1G11960","ERD (early-responsive to dehydration stress) family protein"
"264390_at","no","AT1G11950","Transcription factor jumonji (jmjC) domain-containing protein"
"264391_at","no","AT1G11920","Pectin lyase-like superfamily protein"
"264392_at","no","AT1G11900","Tetratricopeptide repeat (TPR)-like superfamily protein"
"264393_at","no","AT1G11880","transferases, transferring hexosyl groups"
"264394_at","no","AT1G11860","Glycine cleavage T-protein family"
"264395_at","no","AT1G12070","Immunoglobulin E-set superfamily protein"
"264396_at","no","AT1G12050","fumarylacetoacetase, putative"
"264397_at","no","AT1G11820","O-Glycosyl hydrolases family 17 protein"
"264398_at","no","AT1G61730","DNA-binding storekeeper protein-related transcriptional regulator"
"264399_at","no","AT1G61780","postsynaptic protein-related"
"264400_at","no","AT1G61800","glucose-6-phosphate/phosphate translocator 2"
"264401_at","no","AT1G61720","NAD(P)-binding Rossmann-fold superfamily protein"
"264402_at","no","AT2G25140","casein lytic proteinase B4"
"264403_at","no","AT2G25150","HXXXD-type acyl-transferase family protein"
"264404_at","no","AT2G25160","cytochrome P450, family 82, subfamily F, polypeptide 1"
"264405_at","no","AT1G10210","mitogen-activated protein kinase 1"
"264406_at","no","AT1G10290","dynamin-like protein 6"
"264407_at","no","AT1G10180","BEST Arabidopsis thaliana protein match is: exocyst complex component 84B (TAIR:AT5G49830.1); Has 132 Blast hits to 132 proteins in 25 species: Archae - 0; Bacteria - 0; Metazoa - 7; Fungi - 0; Plants - 117; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink)."
"264408_at","no","AT1G10240","FAR1-related sequence 11"
"264410_s_at","no","AT1G43205;AT4G07523;AT1G43230;AT5G27180","[AT1G43205, transposable element gene];[AT4G07523, transposable element gene];[AT1G43230, transposable element gene];[AT5G27180, transposable element gene]"
"264412_at","no","AT1G43260","hAT transposon superfamily protein"
"264413_s_at","no","AT3G43450;AT1G43290","[AT3G43450, transposable element gene];[AT1G43290, transposable element gene]"
"264414_s_at","no","AT1G43300;AT3G43460","[AT1G43300, transposable element gene];[AT3G43460, transposable element gene]"
"264415_at","no","AT1G43160","related to AP2 6"
"264416_at","no","AT1G43140","Cullin family protein"
"264418_at","no","AT1G43190","polypyrimidine tract-binding protein 3"
"264419_s_at","no","AT5G33320;AT1G43310","[AT5G33320, Glucose-6-phosphate/phosphate translocator-related];[AT1G43310, Nucleotide-sugar transporter family protein]"
"264420_at","no","AT1G43320","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 6 Blast hits to 4 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 6; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264421_at","no","AT1G43170","ribosomal protein 1"
"264422_at","no","AT1G43130","like COV 2"
"264423_at","no","AT1G61690","phosphoinositide binding"
"264424_at","no","AT1G61740","Sulfite exporter TauE/SafE family protein"
"264425_at","no","AT1G61750","Receptor-like protein kinase-related family protein"
"264426_at","no","AT1G61760","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"
"264427_at","no","AT1G61770","Chaperone DnaJ-domain superfamily protein"
"264428_at","no","AT1G61790","Oligosaccharyltransferase complex/magnesium transporter family protein"
"264430_at","no","AT1G61680","terpene synthase 14"
"264431_at","no","AT1G61700","RNA polymerases N / 8 kDa subunit"
"264432_at","no","AT1G61710","Cysteine/Histidine-rich C1 domain family protein"
"264433_at","no","AT1G61810","beta-glucosidase 45"
"264434_at","no","AT1G10340","Ankyrin repeat family protein"
"264435_at","no","AT1G10360","glutathione S-transferase TAU 18"
"264436_at","no","AT1G10370","Glutathione S-transferase family protein"
"264437_at","no","AT1G27510","Protein of unknown function (DUF3506)"
"264438_at","no","AT1G27400","Ribosomal protein L22p/L17e family protein"
"264439_at","no","AT1G27450","adenine phosphoribosyl transferase 1"
"264440_at","no","AT1G27340","Galactose oxidase/kelch repeat superfamily protein"
"264441_at","no","AT1G27435","unknown protein; Has 16 Blast hits to 16 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 16; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264442_at","no","AT1G27480","alpha/beta-Hydrolases superfamily protein"
"264443_at","no","AT1G27385","unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF493 (InterPro:IPR007454); Has 76 Blast hits to 76 proteins in 23 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 69; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink)."
"264444_at","no","AT1G27360","squamosa promoter-like 11"
"264445_at","no","AT1G27290","unknown protein; Has 44 Blast hits to 44 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
"264446_at","no","AT1G27310","nuclear transport factor 2A"
"264447_at","no","AT1G27300","unknown protein; Has 54 Blast hits to 54 proteins in 19 species: Archae - 0; Bacteria - 0; Metazoa - 11; Fungi - 6; Plants - 34; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink)."
"264448_at","no","AT1G27320","histidine kinase 3"
"264449_at","no","AT1G27460","no pollen germination related 1"
"264450_s_at","no","AT1G10450;AT1G10250","[AT1G10450, SIN3-like 6];[AT1G10250, BEST Arabidopsis thaliana protein match is: SIN3-like 6 (TAIR:AT1G10450.1); Has 310 Blast hits to 310 proteins in 86 species: Archae - 0; Bacteria - 0; Metazoa - 174; Fungi - 23; Plants - 97; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink).]"
"264451_s_at","no","AT3G59720;AT1G11265;AT1G10260;AT5G13205;AT1G21945;AT1G58140;AT1G48710;AT3G32415;AT3G61330","[AT3G59720, transposable element gene];[AT1G11265, transposable element gene];[AT1G10260, transposable element gene];[AT5G13205, transposable element gene];[AT1G21945, transposable element gene];[AT1G58140, transposable element gene];[AT1G48710, transposable element gene];[AT3G32415, transposable element gene];[AT3G61330, transposable element gene]"
"264452_at","no","AT1G10270","glutamine-rich protein 23"
"264453_at","no","AT1G10300","Nucleolar GTP-binding protein"
"264454_at","no","AT1G10320","Zinc finger C-x8-C-x5-C-x3-H type family protein"
"264455_at","no","AT1G10330","Tetratricopeptide repeat (TPR)-like superfamily protein"
"264456_at","no","AT1G10390","Nucleoporin autopeptidase"
"264457_at","no","AT1G10400","UDP-Glycosyltransferase superfamily protein"
"264458_at","no","AT1G10410","Protein of unknown function (DUF1336)"
"264459_at","no","AT1G10160","transposable element gene"
"264460_at","no","AT1G10170","NF-X-like 1"
"264461_s_at","no","AT1G10190;AT4G15050","[AT1G10190, Protein of Unknown Function (DUF239)];[AT4G15050, Protein of Unknown Function (DUF239)]"
"264462_at","no","AT1G10200","GATA type zinc finger transcription factor family protein"
"264463_at","no","AT1G10150","Carbohydrate-binding protein"
"264464_at","no","AT1G10350","DNAJ heat shock family protein"
"264465_at","no","AT1G10230","SKP1-like 18"
"264466_at","no","AT1G10380","Putative membrane lipoprotein"
"264467_at","no","AT1G10140","Uncharacterised conserved protein UCP031279"
"264468_at","no","AT1G10310","NAD(P)-binding Rossmann-fold superfamily protein"
"264469_at","no","AT1G67100","LOB domain-containing protein 40"
"264470_at","no","AT1G67110","cytochrome P450, family 735, subfamily A, polypeptide 2"
"264471_at","no","AT1G67120","ATPases;nucleotide binding;ATP binding;nucleoside-triphosphatases;transcription factor binding"
"264472_at","no","AT1G67140","HEAT repeat-containing protein"
"264473_at","no","AT1G67180","zinc finger (C3HC4-type RING finger) family protein / BRCT domain-containing protein"
"264474_s_at","no","AT5G38430;AT5G38410;AT1G67090;AT5G38420","[AT5G38430, Ribulose bisphosphate carboxylase (small chain) family protein];[AT5G38410, Ribulose bisphosphate carboxylase (small chain) family protein];[AT1G67090, ribulose bisphosphate carboxylase small chain 1A];[AT5G38420, Ribulose bisphosphate carboxylase (small chain) family protein]"
"264475_s_at","no","AT1G77150;AT1G77170","[AT1G77150, Pentatricopeptide repeat (PPR) superfamily protein];[AT1G77170, Tetratricopeptide repeat (TPR)-like superfamily protein]"
"264476_at","no","AT1G77130","plant glycogenin-like starch initiation protein 2"
"264477_at","no","AT1G77240","AMP-dependent synthetase and ligase family protein"
"264478_at","no","AT1G77270","unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G07730.1); Has 428 Blast hits to 388 proteins in 92 species: Archae - 0; Bacteria - 31; Metazoa - 189; Fungi - 10; Plants - 97; Viruses - 0; Other Eukaryotes - 101 (source: NCBI BLink)."
"264479_at","no","AT1G77280","Protein kinase protein with adenine nucleotide alpha hydrolases-like domain"
"264480_at","no","AT1G77300","histone methyltransferases(H3-K4 specific);histone methyltransferases(H3-K36 specific)"
"264481_at","no","AT1G77200","Integrase-type DNA-binding superfamily protein"
"264482_at","no","AT1G77210","sugar transporter 14"
"264483_at","no","AT1G77230","Tetratricopeptide repeat (TPR)-like superfamily protein"
"264484_at","no","AT1G77260","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"264485_at","no","AT1G77220","Protein of unknown function (DUF300)"
"264486_at","no","AT1G77180","chromatin protein family"
"264487_at","no","AT1G77140","vacuolar protein sorting 45"
"264488_s_at","no","AT1G27330;AT1G27350","[AT1G27330, Ribosome associated membrane protein RAMP4];[AT1G27350, Ribosome associated membrane protein RAMP4]"
"264489_at","no","AT1G27370","squamosa promoter binding protein-like 10"
"264490_at","no","AT1G27390","translocase outer membrane 20-2"
"264491_at","no","AT1G27410","DNA repair metallo-beta-lactamase family protein"
"264493_at","no","AT1G27440","Exostosin family protein"
"264494_at","no","AT1G27461","unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
"264495_at","no","AT1G27380","ROP-interactive CRIB motif-containing protein 2"
"264496_at","no","AT1G27285","transposable element gene"
"264497_at","no","AT1G30840","purine permease 4"
"264498_at","no","AT1G30825","Arp2/3 complex, 34 kD subunit p34-Arc"
"264499_at","no","AT1G30795","Glycine-rich protein family"
"264500_at","no","AT1G09370","Plant invertase/pectin methylesterase inhibitor superfamily protein"
"264501_at","no","AT1G09390","GDSL-like Lipase/Acylhydrolase superfamily protein"
"264502_at","no","AT1G09400","FMN-linked oxidoreductases superfamily protein"
"264503_at","no","AT1G09410","pentatricopeptide (PPR) repeat-containing protein"
"264504_at","no","AT1G09430","ATP-citrate lyase A-3"
